Channel,User,Ts,Year,Month,Day,Hour,Minute,Second
announcements,U7DET4PSP,1507288619.000069,70,0,0,11,41,28
announcements,U7DET4PSP,1507288688.000081,70,0,0,11,41,28
announcements,U7PUGSSMR,1509294011.000051,70,0,0,12,14,54
announcements,U7G52NFN2,1516112381.000532,70,0,0,14,8,32
branding,U7C2YBD7D,1508234417.000251,70,0,0,11,57,14
branding,U7DET4PSP,1508234418.000061,70,0,0,11,57,14
branding,U7D1PDTKQ,1508234418.000093,70,0,0,11,57,14
branding,U2WQ03HBJ,1508234418.000129,70,0,0,11,57,14
branding,U7CC9DP98,1508234418.000164,70,0,0,11,57,14
branding,U7G52NFN2,1508234418.000198,70,0,0,11,57,14
branding,U7C2YBD7D,1508247725.000437,70,0,0,11,57,27
branding,U7C2YBD7D,1508247828.000659,70,0,0,11,57,27
branding,U7C2YBD7D,1508247889.000254,70,0,0,11,57,27
branding,U7DET4PSP,1508262809.000039,70,0,0,11,57,42
branding,U7C2YBD7D,1508401730.000181,70,0,0,12,0,1
branding,U7BMUSDTJ,1508756737.000143,70,0,0,12,5,56
branding,U7PUGSSMR,1509294028.000094,70,0,0,12,14,54
branding,U7G52NFN2,1509697119.000110,70,0,0,12,21,37
branding,U7G52NFN2,1509704543.000067,70,0,0,12,21,44
branding,U7C2YBD7D,1509706376.000072,70,0,0,12,21,46
branding,U7C2YBD7D,1509706387.000231,70,0,0,12,21,46
branding,U7G52NFN2,1509706610.000356,70,0,0,12,21,46
branding,U7C2YBD7D,1509719273.000484,70,0,0,12,21,59
branding,U7G52NFN2,1509955814.000020,70,0,0,12,25,55
branding,U7C2YBD7D,1509981879.000028,70,0,0,12,26,21
branding,U7C2YBD7D,1509981898.000308,70,0,0,12,26,21
branding,U7C2YBD7D,1509981916.000816,70,0,0,12,26,21
branding,U7C2YBD7D,1509981986.000348,70,0,0,12,26,21
branding,U7BMUSDTJ,1510237518.000359,70,0,0,12,30,37
branding,U7G52NFN2,1510258359.000152,70,0,0,12,30,58
branding,U7C2YBD7D,1510310568.000260,70,0,0,12,31,50
branding,U2WQ03HBJ,1510310691.000174,70,0,0,12,31,50
branding,U2WQ03HBJ,1510310728.000155,70,0,0,12,31,50
branding,U2WQ03HBJ,1510310748.000203,70,0,0,12,31,50
branding,U7G52NFN2,1510310976.000178,70,0,0,12,31,50
branding,U7G52NFN2,1510312204.000263,70,0,0,12,31,52
branding,U2WQ03HBJ,1510312408.000060,70,0,0,12,31,52
branding,U7C2YBD7D,1510322492.000603,70,0,0,12,32,2
branding,U7C2YBD7D,1510322510.000531,70,0,0,12,32,2
branding,U7C2YBD7D,1510322586.000196,70,0,0,12,32,2
branding,U7G52NFN2,1511353417.000369,70,0,0,12,49,13
branding,U7DET4PSP,1511353517.000422,70,0,0,12,49,13
branding,U7C2YBD7D,1511353981.000113,70,0,0,12,49,13
branding,U7DET4PSP,1511367315.000301,70,0,0,12,49,27
branding,U7DET4PSP,1511367317.000074,70,0,0,12,49,27
branding,U7DET4PSP,1511367332.000464,70,0,0,12,49,27
branding,U7DET4PSP,1511367338.000458,70,0,0,12,49,27
branding,U7DET4PSP,1511367346.000222,70,0,0,12,49,27
branding,U7DET4PSP,1511367363.000179,70,0,0,12,49,27
branding,U7C2YBD7D,1511711267.000039,70,0,0,12,55,11
branding,U7C2YBD7D,1511712570.000032,70,0,0,12,55,12
branding,U7DET4PSP,1511718511.000037,70,0,0,12,55,18
branding,U2WQ03HBJ,1511733318.000047,70,0,0,12,55,33
branding,U2WQ03HBJ,1511733651.000041,70,0,0,12,55,33
branding,U2WQ03HBJ,1511734082.000037,70,0,0,12,55,34
branding,U7C2YBD7D,1511760450.000075,70,0,0,12,56,0
branding,U7C2YBD7D,1511761013.000133,70,0,0,12,56,1
branding,U2WQ03HBJ,1512131833.000185,70,0,0,13,2,11
branding,U2WQ03HBJ,1512131849.000285,70,0,0,13,2,11
branding,U2WQ03HBJ,1512131878.000062,70,0,0,13,2,11
branding,U2WQ03HBJ,1512131885.000378,70,0,0,13,2,11
branding,U7C2YBD7D,1512131961.000151,70,0,0,13,2,11
branding,U2WQ03HBJ,1512131974.000178,70,0,0,13,2,11
branding,U7DET4PSP,1512131987.000197,70,0,0,13,2,11
branding,U2WQ03HBJ,1512132033.000024,70,0,0,13,2,12
branding,U2WQ03HBJ,1512132061.000125,70,0,0,13,2,12
branding,U2WQ03HBJ,1512132106.000032,70,0,0,13,2,12
branding,U7DET4PSP,1512132584.000203,70,0,0,13,2,12
branding,U7C2YBD7D,1512136250.000532,70,0,0,13,2,16
branding,U7C2YBD7D,1512138116.000531,70,0,0,13,2,18
branding,U7C2YBD7D,1512138119.000314,70,0,0,13,2,18
branding,U7C2YBD7D,1512138217.000307,70,0,0,13,2,18
branding,U2WQ03HBJ,1512138264.000049,70,0,0,13,2,18
branding,U2WQ03HBJ,1512138289.000132,70,0,0,13,2,18
branding,U7C2YBD7D,1512140585.000099,70,0,0,13,2,20
branding,U2WQ03HBJ,1512142194.000496,70,0,0,13,2,22
branding,U2WQ03HBJ,1512142231.000818,70,0,0,13,2,22
branding,U7DET4PSP,1512155003.000469,70,0,0,13,2,35
branding,U7G52NFN2,1512308563.000001,70,0,0,13,5,8
branding,U7PUGSSMR,1512310467.000055,70,0,0,13,5,10
branding,U7C2YBD7D,1512311428.000075,70,0,0,13,5,11
branding,U7C2YBD7D,1512311445.000029,70,0,0,13,5,11
branding,U7BMUSDTJ,1512311486.000098,70,0,0,13,5,11
branding,U7C2YBD7D,1512311831.000029,70,0,0,13,5,11
branding,U7G52NFN2,1512312200.000073,70,0,0,13,5,12
branding,U7G52NFN2,1512312213.000029,70,0,0,13,5,12
branding,U7G52NFN2,1512312260.000022,70,0,0,13,5,12
branding,U7C2YBD7D,1512312674.000019,70,0,0,13,5,12
branding,U7C2YBD7D,1512312761.000080,70,0,0,13,5,12
branding,U7C2YBD7D,1512312788.000008,70,0,0,13,5,12
branding,U7G52NFN2,1512313489.000041,70,0,0,13,5,13
branding,U7G52NFN2,1512313527.000058,70,0,0,13,5,13
branding,U7G52NFN2,1512313618.000018,70,0,0,13,5,13
branding,U7G52NFN2,1512313666.000043,70,0,0,13,5,13
branding,U7G52NFN2,1512313671.000012,70,0,0,13,5,13
branding,U7DET4PSP,1512313728.000035,70,0,0,13,5,13
branding,U7DET4PSP,1512313861.000007,70,0,0,13,5,13
branding,U7DET4PSP,1512313924.000062,70,0,0,13,5,13
branding,U7DET4PSP,1512313931.000030,70,0,0,13,5,13
branding,U7DET4PSP,1512313937.000020,70,0,0,13,5,13
branding,U7C2YBD7D,1512314154.000077,70,0,0,13,5,14
branding,U7C2YBD7D,1512314164.000052,70,0,0,13,5,14
branding,U7DET4PSP,1512314238.000047,70,0,0,13,5,14
branding,U7G52NFN2,1512314282.000059,70,0,0,13,5,14
branding,U7G52NFN2,1512314639.000048,70,0,0,13,5,14
branding,U7G52NFN2,1512314645.000005,70,0,0,13,5,14
branding,U7PUGSSMR,1512318113.000052,70,0,0,13,5,18
branding,U7C2YBD7D,1512318526.000089,70,0,0,13,5,18
branding,U7C2YBD7D,1512318538.000063,70,0,0,13,5,18
branding,U7C2YBD7D,1512318539.000113,70,0,0,13,5,18
branding,U7C2YBD7D,1512318555.000076,70,0,0,13,5,18
branding,U7C2YBD7D,1512318575.000072,70,0,0,13,5,18
branding,U7G52NFN2,1512318594.000030,70,0,0,13,5,18
branding,U7DET4PSP,1512326330.000014,70,0,0,13,5,26
branding,U7G52NFN2,1512389451.000128,70,0,0,13,6,29
branding,U7G52NFN2,1512389456.000082,70,0,0,13,6,29
branding,U7DET4PSP,1512393773.000046,70,0,0,13,6,33
branding,U7DET4PSP,1512394094.000362,70,0,0,13,6,34
branding,U7G52NFN2,1512394377.000111,70,0,0,13,6,34
branding,U7DET4PSP,1512394536.000581,70,0,0,13,6,34
branding,U7PUGSSMR,1513100447.000619,70,0,0,13,18,20
branding,U7PUGSSMR,1513100545.000008,70,0,0,13,18,20
branding,U7PUGSSMR,1513100950.000414,70,0,0,13,18,20
branding,U7PUGSSMR,1513100994.000517,70,0,0,13,18,20
branding,U7C2YBD7D,1513101159.000153,70,0,0,13,18,21
branding,U7C2YBD7D,1513101234.000027,70,0,0,13,18,21
branding,U7C2YBD7D,1513101248.000013,70,0,0,13,18,21
branding,U7C2YBD7D,1513101269.000258,70,0,0,13,18,21
branding,U7PUGSSMR,1513103172.000366,70,0,0,13,18,23
branding,U7PUGSSMR,1513103225.000098,70,0,0,13,18,23
branding,U7C2YBD7D,1513103493.000304,70,0,0,13,18,23
branding,U7PUGSSMR,1513105156.000074,70,0,0,13,18,25
branding,U7G52NFN2,1513107769.000458,70,0,0,13,18,27
branding,U7G52NFN2,1513107792.000404,70,0,0,13,18,27
branding,U7PUGSSMR,1513108000.000034,70,0,0,13,18,28
branding,U7PUGSSMR,1513108043.000159,70,0,0,13,18,28
branding,U7C2YBD7D,1513108066.000583,70,0,0,13,18,28
branding,U7G52NFN2,1513108076.000540,70,0,0,13,18,28
branding,U7PUGSSMR,1513108241.000371,70,0,0,13,18,28
branding,U7DET4PSP,1513108521.000287,70,0,0,13,18,28
branding,U7DET4PSP,1513108581.000359,70,0,0,13,18,28
branding,U7DET4PSP,1513108697.000315,70,0,0,13,18,28
branding,U7PUGSSMR,1513108795.000069,70,0,0,13,18,28
branding,U7PUGSSMR,1513108814.000385,70,0,0,13,18,28
branding,U7PUGSSMR,1515240668.000055,70,0,0,13,54,0
branding,U7CC9DP98,1515346877.000035,70,0,0,13,55,46
branding,U7C2YBD7D,1515665012.000007,70,0,0,14,1,5
branding,U7PUGSSMR,1515854860.000126,70,0,0,14,4,14
branding,null,1515854983.000032,70,0,0,14,4,14
branding,null,1515855221.000051,70,0,0,14,4,15
branding,U7C2YBD7D,1515855240.000098,70,0,0,14,4,15
branding,U7C2YBD7D,1515855244.000047,70,0,0,14,4,15
branding,U7PUGSSMR,1515856479.000084,70,0,0,14,4,16
branding,U7DET4PSP,1515857359.000124,70,0,0,14,4,17
branding,U7DET4PSP,1515857459.000103,70,0,0,14,4,17
branding,U7BMUSDTJ,1515859998.000056,70,0,0,14,4,19
branding,U7BMUSDTJ,1515860022.000004,70,0,0,14,4,20
branding,U7PUGSSMR,1515860159.000027,70,0,0,14,4,20
branding,U7DET4PSP,1515860322.000044,70,0,0,14,4,20
branding,U7DET4PSP,1515860328.000115,70,0,0,14,4,20
branding,U7DET4PSP,1515860338.000085,70,0,0,14,4,20
branding,U7DET4PSP,1515860364.000121,70,0,0,14,4,20
branding,U7DET4PSP,1515860376.000022,70,0,0,14,4,20
branding,U7C2YBD7D,1516048646.000306,70,0,0,14,7,28
branding,U2WQ03HBJ,1516610388.000034,70,0,0,14,16,50
branding,U2WQ03HBJ,1516610499.000282,70,0,0,14,16,50
branding,U7C2YBD7D,1516610513.000031,70,0,0,14,16,50
branding,U2WQ03HBJ,1516610526.000119,70,0,0,14,16,50
branding,U7C2YBD7D,1516610541.000432,70,0,0,14,16,50
branding,U7PUGSSMR,1516645245.000366,70,0,0,14,17,25
branding,U7PUGSSMR,1516645284.000832,70,0,0,14,17,25
branding,U7G52NFN2,1516645370.000184,70,0,0,14,17,25
branding,U7PUGSSMR,1516645504.000541,70,0,0,14,17,25
branding,U7C2YBD7D,1516645569.000237,70,0,0,14,17,25
branding,U7PUGSSMR,1516645694.000492,70,0,0,14,17,25
branding,U7G52NFN2,1516645891.000356,70,0,0,14,17,25
branding,U7PUGSSMR,1516646061.000394,70,0,0,14,17,26
branding,U7G52NFN2,1517145582.000065,70,0,0,14,25,45
branding,U7PUGSSMR,1517157890.000005,70,0,0,14,25,57
branding,U7G52NFN2,1517157986.000039,70,0,0,14,25,57
branding,U7PUGSSMR,1517158636.000007,70,0,0,14,25,58
branding,U7PUGSSMR,1517158672.000057,70,0,0,14,25,58
branding,U7G52NFN2,1517159188.000097,70,0,0,14,25,59
branding,U7G52NFN2,1517159205.000047,70,0,0,14,25,59
branding,U7PUGSSMR,1517159549.000051,70,0,0,14,25,59
branding,U7C2YBD7D,1517159854.000008,70,0,0,14,25,59
branding,U7PUGSSMR,1517159874.000002,70,0,0,14,25,59
branding,U7C2YBD7D,1517159879.000092,70,0,0,14,25,59
branding,U7C2YBD7D,1517159891.000109,70,0,0,14,25,59
branding,U7C2YBD7D,1517159903.000039,70,0,0,14,25,59
branding,U7C2YBD7D,1517159954.000002,70,0,0,14,25,59
branding,U7PUGSSMR,1517160046.000006,70,0,0,14,26,0
branding,U7CC9DP98,1517166970.000146,70,0,0,14,26,6
branding,U7C2YBD7D,1517331167.000157,70,0,0,14,28,51
branding,U7C2YBD7D,1517331502.000103,70,0,0,14,28,51
branding,U7G52NFN2,1517335080.000209,70,0,0,14,28,55
branding,U7PUGSSMR,1517341730.000402,70,0,0,14,29,1
branding,U7PUGSSMR,1517835109.000392,70,0,0,14,37,15
branding,U7PUGSSMR,1517835138.000397,70,0,0,14,37,15
branding,U7DET4PSP,1517853555.000011,70,0,0,14,37,33
branding,U7PUGSSMR,1517853795.000040,70,0,0,14,37,33
conference-flow,U7C2YBD7D,1517859908.000131,70,0,0,14,37,39
conference-flow,U7C2YBD7D,1517859908.000535,70,0,0,14,37,39
conference-flow,U7G52NFN2,1517859908.000736,70,0,0,14,37,39
conference-flow,U7DET4PSP,1517859909.000110,70,0,0,14,37,39
conference-flow,U7BS22HB3,1517860051.000227,70,0,0,14,37,40
conference-flow,U7C2YBD7D,1517860054.000026,70,0,0,14,37,40
conference-flow,U7C2YBD7D,1517860058.000559,70,0,0,14,37,40
conference-flow,U7DET4PSP,1517860125.000309,70,0,0,14,37,40
conference-flow,U7C2YBD7D,1517860138.000609,70,0,0,14,37,40
conference-flow,U7C2YBD7D,1517860189.000410,70,0,0,14,37,40
conference-flow,U7C2YBD7D,1517860364.000654,70,0,0,14,37,40
conference-flow,U7DET4PSP,1517860487.000406,70,0,0,14,37,40
